lang;OK;WRONG
hi-IN;10736;5975
hr-HR;21448;1271
hu-HU;20672;586
id-ID;10174;699
is-IS;17177;3343
it-IT;17156;129
ja-JP;14890;0
ko-KR;19401;1313
lt-LT;21614;784
lv-LV;22426;730
ms-MY;11000;1224
nb-NO;17814;379
nl-NL;15536;820
pl-PL;21473;198
pt-BR;14683;423
pt-PT;14126;505
ro-RO;13100;4373
ru-RU;21862;149
sk-SK;20177;503
sl-SI;18493;292
sr-Latn;18146;863
sv-SE;20319;404
th-TH;6384;349
tr-TR;17296;860
uk-UA;22533;611
ur-PK;9243;6103
vi-VN;1058;3532
zh-Hans;8698;0
en-GB;18324;170
af-ZA;18887;1487
ar-SA;29284;3416
bg-BG;17486;1129
cs-CZ;21881;182
da-DK;16979;868
de-DE;16745;2158
el-GR;20135;725
es-ES;17839;217
et-EE;21096;703
fa-IR;9125;4648
fi-FI;20479;342
fr-FR;15419;223
he-IL;21236;510
hi-IN;11136;6370
hr-HR;22461;1381
hu-HU;21412;612
id-ID;10324;716
is-IS;17837;3514
it-IT;17631;138
ja-JP;15190;0
ko-KR;20098;1375
lt-LT;22594;824
lv-LV;23534;772
ms-MY;11240;1263
nb-NO;18823;409
nl-NL;15942;857
pl-PL;22196;211
pt-BR;14924;441
pt-PT;14348;514
ro-RO;13435;4574
ru-RU;22522;158
sk-SK;20854;520
sl-SI;18848;298
sr-Latn;18508;897
sv-SE;21498;432
th-TH;6455;360
tr-TR;17981;908
uk-UA;23598;648
ur-PK;9399;6275
vi-VN;1068;3577
zh-Hans;8852;0
es-ES;17793;225
af-ZA;17818;1371
ar-SA;27878;3220
bg-BG;16787;1044
cs-CZ;20683;168
da-DK;16081;818
de-DE;16021;2074
el-GR;19088;682
en-GB;17611;155
et-EE;19993;655
fa-IR;8920;4270
fi-FI;19482;326
fr-FR;15011;213
he-IL;20219;484
hi-IN;10573;5788
hr-HR;20937;1270
hu-HU;20234;569
id-ID;10004;665
is-IS;16758;3255
it-IT;17000;129
ja-JP;14546;0
ko-KR;18896;1266
lt-LT;21123;750
lv-LV;21893;709
ms-MY;10828;1207
nb-NO;17502;370
nl-NL;15288;816
pl-PL;21019;183
pt-BR;14606;417
pt-PT;14036;498
ro-RO;12923;4326
ru-RU;21347;149
sk-SK;19790;489
sl-SI;18103;275
sr-Latn;17792;849
sv-SE;20006;399
th-TH;6306;335
tr-TR;17018;832
uk-UA;22001;597
ur-PK;9127;5987
vi-VN;1053;3500
zh-Hans;8570;0
et-EE;21081;706
af-ZA;18258;1420
ar-SA;28536;3326
bg-BG;17184;1098
cs-CZ;21280;177
da-DK;16472;838
de-DE;16462;2126
el-GR;19542;686
en-GB;17893;157
es-ES;17283;203
fa-IR;9012;4474
fi-FI;20119;331
fr-FR;15144;217
he-IL;20705;496
hi-IN;10788;6014
hr-HR;21573;1295
hu-HU;20807;589
id-ID;10180;707
is-IS;17236;3368
it-IT;17179;131
ja-JP;14907;0
ko-KR;19474;1329
lt-LT;21796;800
lv-LV;22672;741
ms-MY;11025;1244
nb-NO;17996;373
nl-NL;15631;829
pl-PL;21605;200
pt-BR;14699;427
pt-PT;14144;503
ro-RO;13128;4416
ru-RU;21989;152
sk-SK;20351;510
sl-SI;18565;291
sr-Latn;18203;868
sv-SE;20446;409
th-TH;6376;354
tr-TR;17368;856
uk-UA;22686;613
ur-PK;9257;6105
vi-VN;1059;3532
zh-Hans;8718;0
fa-IR;9125;4647
af-ZA;18490;1442
ar-SA;28763;3345
bg-BG;17235;1109
cs-CZ;21385;175
da-DK;16582;838
de-DE;16477;2130
el-GR;19747;696
en-GB;17923;157
es-ES;17443;213
et-EE;20688;683
fi-FI;20062;331
fr-FR;15213;220
he-IL;20872;502
hi-IN;10923;6102
hr-HR;21880;1326
hu-HU;20949;591
id-ID;10203;708
is-IS;17428;3412
it-IT;17246;129
ja-JP;15025;0
ko-KR;19667;1332
lt-LT;22002;789
lv-LV;22859;727
ms-MY;11111;1242
nb-NO;18245;388
nl-NL;15693;826
pl-PL;21726;201
pt-BR;14735;423
pt-PT;14180;505
ro-RO;13219;4487
ru-RU;22044;154
sk-SK;20411;502
sl-SI;18554;289
sr-Latn;18246;873
sv-SE;20777;416
th-TH;6408;356
tr-TR;17565;869
uk-UA;22994;617
ur-PK;9311;6186
vi-VN;1062;3551
zh-Hans;8773;0
fi-FI;20490;343
af-ZA;17860;1368
ar-SA;27989;3255
bg-BG;16928;1059
cs-CZ;20820;165
da-DK;16140;806
de-DE;16155;2061
el-GR;19156;677
en-GB;17630;159
es-ES;16957;195
et-EE;20293;661
fa-IR;8942;4380
fr-FR;14919;209
he-IL;20288;486
hi-IN;10662;5870
hr-HR;21121;1255
hu-HU;20343;579
id-ID;10056;685
is-IS;17073;3329
it-IT;16853;118
ja-JP;14668;0
ko-KR;19142;1303
lt-LT;21310;776
lv-LV;22097;718
ms-MY;10850;1193
nb-NO;17610;374
nl-NL;15363;815
pl-PL;21080;190
pt-BR;14502;407
pt-PT;14044;494
ro-RO;12958;4347
ru-RU;21534;144
sk-SK;19879;485
sl-SI;18219;284
sr-Latn;17905;866
sv-SE;20080;390
th-TH;6313;342
tr-TR;17025;837
uk-UA;22109;603
ur-PK;9173;5989
vi-VN;1056;3509
zh-Hans;8587;0
fr-FR;15409;224
af-ZA;18049;1398
ar-SA;28321;3286
bg-BG;17029;1085
cs-CZ;21097;175
da-DK;16284;823
de-DE;16310;2091
el-GR;19393;694
en-GB;17876;159
es-ES;17297;205
et-EE;20373;668
fa-IR;8971;4425
fi-FI;19845;324
he-IL;20504;489
hi-IN;10715;5934
hr-HR;21377;1284
hu-HU;20660;576
id-ID;10142;702
is-IS;17107;3306
it-IT;17212;129
ja-JP;14811;0
ko-KR;19269;1291
lt-LT;21532;775
lv-LV;22329;716
ms-MY;10997;1218
nb-NO;17769;375
nl-NL;15561;824
pl-PL;21384;195
pt-BR;14707;411
pt-PT;14191;507
ro-RO;13183;4420
ru-RU;21755;153
sk-SK;20136;493
sl-SI;18424;291
sr-Latn;18061;866
sv-SE;20293;399
th-TH;6345;347
tr-TR;17222;852
uk-UA;22430;603
ur-PK;9215;6033
vi-VN;1060;3541
zh-Hans;8665;0
he-IL;21222;509
af-ZA;18224;1412
ar-SA;28400;3317
bg-BG;17127;1089
cs-CZ;21097;173
da-DK;16377;827
de-DE;16277;2115
el-GR;19482;677
en-GB;17784;154
es-ES;17193;202
et-EE;20424;680
fa-IR;9009;4476
fi-FI;19904;324
fr-FR;15053;212
hi-IN;10768;6004
hr-HR;21417;1294
hu-HU;20625;580
id-ID;10120;695
is-IS;17132;3346
it-IT;17059;130
ja-JP;14868;0
ko-KR;19442;1304
lt-LT;21608;774
lv-LV;22386;723
ms-MY;10990;1229
nb-NO;17820;379
nl-NL;15524;820
pl-PL;21434;198
pt-BR;14651;420
pt-PT;14093;503
ro-RO;13031;4376
ru-RU;21774;154
sk-SK;20190;501
sl-SI;18434;294
sr-Latn;18142;867
sv-SE;20371;409
th-TH;6372;350
tr-TR;17296;841
uk-UA;22533;610
ur-PK;9250;6096
vi-VN;1064;3532
zh-Hans;8670;0
hi-IN;11122;6352
af-ZA;18120;1407
ar-SA;28399;3293
bg-BG;17049;1083
cs-CZ;20986;176
da-DK;16287;813
de-DE;16262;2070
el-GR;19385;679
en-GB;17736;156
es-ES;17136;199
et-EE;20313;682
fa-IR;8991;4454
fi-FI;19787;330
fr-FR;15024;218
he-IL;20521;493
hr-HR;21423;1289
hu-HU;20582;574
id-ID;10146;690
is-IS;17133;3321
it-IT;17036;128
ja-JP;14828;0
ko-KR;19436;1304
lt-LT;21528;765
lv-LV;22306;714
ms-MY;11029;1223
nb-NO;17804;374
nl-NL;15502;800
pl-PL;21343;196
pt-BR;14604;416
pt-PT;14033;498
ro-RO;13037;4390
ru-RU;21685;151
sk-SK;20113;498
sl-SI;18338;291
sr-Latn;18026;853
sv-SE;20301;398
th-TH;6360;347
tr-TR;17199;840
uk-UA;22476;615
ur-PK;9255;6076
vi-VN;1057;3542
zh-Hans;8682;0
hr-HR;22388;1373
af-ZA;18064;1395
ar-SA;28172;3275
bg-BG;16996;1094
cs-CZ;21025;171
da-DK;16292;812
de-DE;16211;2093
el-GR;19366;693
en-GB;17541;155
es-ES;17090;201
et-EE;20268;667
fa-IR;8938;4458
fi-FI;19730;323
fr-FR;14947;208
he-IL;20414;492
hi-IN;10687;5889
hu-HU;20539;576
id-ID;10089;683
is-IS;17068;3321
it-IT;16923;127
ja-JP;14715;0
ko-KR;19244;1284
lt-LT;21544;781
lv-LV;22357;724
ms-MY;10940;1228
nb-NO;17799;381
nl-NL;15459;817
pl-PL;21331;200
pt-BR;14520;417
pt-PT;13975;497
ro-RO;12995;4361
ru-RU;21699;148
sk-SK;20099;498
sl-SI;18319;290
sr-Latn;18055;876
sv-SE;20241;404
th-TH;6341;348
tr-TR;17137;849
uk-UA;22442;613
ur-PK;9224;5961
vi-VN;1059;3527
zh-Hans;8648;0
hu-HU;21399;614
af-ZA;18273;1424
ar-SA;28570;3325
bg-BG;17162;1107
cs-CZ;21288;170
da-DK;16445;830
de-DE;16455;2121
el-GR;19584;691
en-GB;17813;150
es-ES;17285;203
et-EE;20568;679
fa-IR;9030;4488
fi-FI;20011;335
fr-FR;15131;211
he-IL;20694;494
hi-IN;10781;5967
hr-HR;21691;1296
id-ID;10179;708
is-IS;17237;3338
it-IT;17216;132
ja-JP;14922;0
ko-KR;19524;1301
lt-LT;21880;793
lv-LV;22651;728
ms-MY;11052;1238
nb-NO;17954;382
nl-NL;15660;820
pl-PL;21586;207
pt-BR;14700;422
pt-PT;14145;500
ro-RO;13122;4401
ru-RU;21923;150
sk-SK;20311;504
sl-SI;18550;291
sr-Latn;18201;861
sv-SE;20537;413
th-TH;6386;348
tr-TR;17387;859
uk-UA;22719;612
ur-PK;9247;6084
vi-VN;1061;3535
zh-Hans;8703;0
id-ID;10311;716
af-ZA;16890;1306
ar-SA;26631;3063
bg-BG;16186;993
cs-CZ;19617;162
da-DK;15312;759
de-DE;15382;2023
el-GR;18309;641
en-GB;16293;147
es-ES;16045;184
et-EE;19170;631
fa-IR;8725;4119
fi-FI;18676;307
fr-FR;14303;201
he-IL;19203;479
hi-IN;10164;5477
hr-HR;19970;1148
hu-HU;19256;529
is-IS;16033;3077
it-IT;15991;115
ja-JP;14204;0
ko-KR;18222;1215
lt-LT;20102;726
lv-LV;20693;663
ms-MY;10642;1171
nb-NO;16489;343
nl-NL;14574;751
pl-PL;19903;176
pt-BR;13908;395
pt-PT;13372;476
ro-RO;12316;4045
ru-RU;20366;146
sk-SK;18910;469
sl-SI;17461;264
sr-Latn;17129;801
sv-SE;18639;372
th-TH;6239;330
tr-TR;16195;775
uk-UA;20861;548
ur-PK;8969;5693
vi-VN;1047;3463
zh-Hans;8383;0
is-IS;17785;3509
af-ZA;17752;1263
ar-SA;27780;3197
bg-BG;16736;1037
cs-CZ;20583;151
da-DK;16004;765
de-DE;15957;1960
el-GR;18990;656
en-GB;17319;147
es-ES;16881;184
et-EE;19877;625
fa-IR;8856;4356
fi-FI;19581;310
fr-FR;14745;191
he-IL;20066;476
hi-IN;10619;5778
hr-HR;20935;1232
hu-HU;20178;548
id-ID;9939;657
it-IT;16698;105
ja-JP;14562;0
ko-KR;19083;1250
lt-LT;21107;740
lv-LV;21960;681
ms-MY;10796;1161
nb-NO;17533;358
nl-NL;15132;783
pl-PL;20926;170
pt-BR;14337;351
pt-PT;14082;502
ro-RO;13060;4360
ru-RU;21304;145
sk-SK;19563;453
sl-SI;17987;274
sr-Latn;17711;838
sv-SE;19990;385
th-TH;6244;334
tr-TR;16937;820
uk-UA;22056;574
ur-PK;9119;5931
vi-VN;1045;3490
zh-Hans;8569;0
it-IT;17768;140
af-ZA;18005;1394
ar-SA;28099;3253
bg-BG;16998;1072
cs-CZ;20924;172
da-DK;16223;825
de-DE;16220;2097
el-GR;19313;683
en-GB;17797;157
es-ES;17268;208
et-EE;20291;681
fa-IR;8939;4382
fi-FI;19750;327
fr-FR;15152;215
he-IL;20375;491
hi-IN;10653;5869
hr-HR;21170;1274
hu-HU;20509;581
id-ID;10101;694
is-IS;16953;3305
ja-JP;14726;0
ko-KR;19085;1281
lt-LT;21358;771
lv-LV;22202;720
ms-MY;10930;1225
nb-NO;17662;380
nl-NL;15438;818
pl-PL;21262;198
pt-BR;14696;425
pt-PT;14149;506
ro-RO;13055;4366
ru-RU;21651;152
sk-SK;20026;504
sl-SI;18339;289
sr-Latn;17989;868
sv-SE;20163;407
th-TH;6316;347
tr-TR;17089;846
uk-UA;22260;607
ur-PK;9179;6001
vi-VN;1055;3521
zh-Hans;8608;0
ja-JP;15184;0
af-ZA;18335;1417
ar-SA;28648;3345
bg-BG;17214;1095
cs-CZ;21287;176
da-DK;16494;821
de-DE;16451;2120
el-GR;19608;698
en-GB;17877;159
es-ES;17271;206
et-EE;20620;681
fa-IR;9035;4511
fi-FI;20072;329
fr-FR;15150;215
he-IL;20783;496
hi-IN;10833;6049
hr-HR;21682;1317
hu-HU;20867;590
id-ID;10201;701
is-IS;17384;3401
it-IT;17163;131
ko-KR;19655;1336
lt-LT;21853;789
lv-LV;22631;737
ms-MY;11059;1233
nb-NO;17989;374
nl-NL;15650;836
pl-PL;21603;201
pt-BR;14714;417
pt-PT;14181;507
ro-RO;13174;4419
ru-RU;21977;156
sk-SK;20325;503
sl-SI;18543;298
sr-Latn;18218;876
sv-SE;20540;420
th-TH;6380;350
tr-TR;17412;852
uk-UA;22699;627
ur-PK;9301;6143
vi-VN;1062;3532
zh-Hans;8753;0
ko-KR;20101;1377
af-ZA;18453;1449
ar-SA;28914;3363
bg-BG;17324;1108
cs-CZ;21466;178
da-DK;16630;842
de-DE;16535;2137
el-GR;19775;708
en-GB;18051;170
es-ES;17426;209
et-EE;20757;694
fa-IR;9061;4558
fi-FI;20202;339
fr-FR;15217;217
he-IL;20925;502
hi-IN;10931;6148
hr-HR;21888;1340
hu-HU;21057;595
id-ID;10241;709
is-IS;17492;3423
it-IT;17308;132
ja-JP;15081;0
lt-LT;22069;812
lv-LV;22910;749
ms-MY;11139;1249
nb-NO;18196;388
nl-NL;15712;845
pl-PL;21753;206
pt-BR;14799;433
pt-PT;14231;508
ro-RO;13262;4472
ru-RU;22179;153
sk-SK;20487;508
sl-SI;18656;296
sr-Latn;18339;881
sv-SE;20775;426
th-TH;6428;358
tr-TR;17583;883
uk-UA;23000;632
ur-PK;9318;6196
vi-VN;1065;3552
zh-Hans;8786;0
lt-LT;22545;826
af-ZA;18110;1404
ar-SA;28320;3289
bg-BG;17115;1100
cs-CZ;21183;171
da-DK;16387;819
de-DE;16335;2116
el-GR;19446;680
en-GB;17621;157
es-ES;17143;198
et-EE;20439;681
fa-IR;8979;4408
fi-FI;19908;328
fr-FR;15063;214
he-IL;20529;494
hi-IN;10715;5913
hr-HR;21489;1289
hu-HU;20648;581
id-ID;10163;698
is-IS;17107;3340
it-IT;17085;128
ja-JP;14848;0
ko-KR;19304;1297
lv-LV;22626;737
ms-MY;10987;1224
nb-NO;17861;376
nl-NL;15587;817
pl-PL;21569;203
pt-BR;14634;418
pt-PT;14081;498
ro-RO;13075;4363
ru-RU;21888;148
sk-SK;20243;496
sl-SI;18491;293
sr-Latn;18117;865
sv-SE;20300;416
th-TH;6363;348
tr-TR;17310;858
uk-UA;22642;610
ur-PK;9240;6040
vi-VN;1057;3531
zh-Hans;8683;0
lv-LV;23518;772
af-ZA;18228;1421
ar-SA;28479;3311
bg-BG;17169;1096
cs-CZ;21291;166
da-DK;16464;834
de-DE;16459;2113
el-GR;19606;694
en-GB;17692;151
es-ES;17297;194
et-EE;20594;674
fa-IR;9018;4447
fi-FI;19967;331
fr-FR;15116;211
he-IL;20701;481
hi-IN;10814;5989
hr-HR;21727;1292
hu-HU;20866;589
id-ID;10188;701
is-IS;17264;3362
it-IT;17195;124
ja-JP;14892;0
ko-KR;19466;1294
lt-LT;21985;787
ms-MY;11037;1232
nb-NO;18027;378
nl-NL;15649;818
pl-PL;21643;201
pt-BR;14669;411
pt-PT;14130;504
ro-RO;13122;4398
ru-RU;22060;145
sk-SK;20348;490
sl-SI;18571;284
sr-Latn;18236;866
sv-SE;20491;410
th-TH;6354;350
tr-TR;17413;857
uk-UA;22838;624
ur-PK;9276;6070
vi-VN;1063;3527
zh-Hans;8710;0
ms-MY;11231;1264
af-ZA;17741;1393
ar-SA;27786;3243
bg-BG;16750;1065
cs-CZ;20537;166
da-DK;15977;806
de-DE;16038;2084
el-GR;19010;674
en-GB;17375;151
es-ES;16778;196
et-EE;19967;663
fa-IR;8894;4388
fi-FI;19459;316
fr-FR;14809;214
he-IL;20185;482
hi-IN;10570;5781
hr-HR;20906;1233
hu-HU;20149;558
id-ID;10101;683
is-IS;16652;3259
it-IT;16662;130
ja-JP;14622;0
ko-KR;18991;1277
lt-LT;21044;765
lv-LV;21799;703
nb-NO;17362;378
nl-NL;15258;796
pl-PL;20935;197
pt-BR;14414;411
pt-PT;13852;492
ro-RO;12837;4283
ru-RU;21331;153
sk-SK;19731;499
sl-SI;18107;287
sr-Latn;17804;852
sv-SE;19760;399
th-TH;6328;342
tr-TR;16871;828
uk-UA;21921;592
ur-PK;9137;5978
vi-VN;1056;3513
zh-Hans;8580;0
nb-NO;18761;407
af-ZA;18406;1423
ar-SA;28571;3306
bg-BG;17181;1097
cs-CZ;21305;174
da-DK;16672;827
de-DE;16492;2118
el-GR;19596;700
en-GB;17860;154
es-ES;17316;198
et-EE;20602;686
fa-IR;9023;4488
fi-FI;20007;322
fr-FR;15144;215
he-IL;20744;491
hi-IN;10826;6035
hr-HR;21674;1288
hu-HU;20898;584
id-ID;10175;693
is-IS;17340;3370
it-IT;17227;124
ja-JP;14896;0
ko-KR;19558;1304
lt-LT;21904;775
lv-LV;22747;747
ms-MY;11059;1231
nl-NL;15686;829
pl-PL;21638;201
pt-BR;14684;400
pt-PT;14135;506
ro-RO;13191;4435
ru-RU;21963;150
sk-SK;20372;497
sl-SI;18541;291
sr-Latn;18212;870
sv-SE;20756;416
th-TH;6384;355
tr-TR;17440;853
uk-UA;22801;604
ur-PK;9271;6099
vi-VN;1062;3531
zh-Hans;8731;0
nl-NL;15926;856
af-ZA;18176;1396
ar-SA;28177;3253
bg-BG;17009;1086
cs-CZ;20860;171
da-DK;16286;814
de-DE;16400;2117
el-GR;19235;687
en-GB;17592;152
es-ES;16963;200
et-EE;20289;672
fa-IR;8968;4390
fi-FI;19717;327
fr-FR;15013;210
he-IL;20412;495
hi-IN;10669;5745
hr-HR;21210;1281
hu-HU;20497;574
id-ID;10144;694
is-IS;17010;3320
it-IT;16983;124
ja-JP;14797;0
ko-KR;19183;1307
lt-LT;21444;777
lv-LV;22100;727
ms-MY;10991;1235
nb-NO;17737;368
pl-PL;21305;201
pt-BR;14589;410
pt-PT;14043;493
ro-RO;13065;4354
ru-RU;21584;152
sk-SK;19981;494
sl-SI;18357;289
sr-Latn;18014;872
sv-SE;20062;407
th-TH;6352;334
tr-TR;17082;840
uk-UA;22297;566
ur-PK;9226;6023
vi-VN;1060;3511
zh-Hans;8682;0
pl-PL;22169;210
af-ZA;18145;1395
ar-SA;28448;3312
bg-BG;17155;1097
cs-CZ;21202;175
da-DK;16396;820
de-DE;16396;2115
el-GR;19519;687
en-GB;17850;155
es-ES;17235;195
et-EE;20481;680
fa-IR;9004;4466
fi-FI;19952;326
fr-FR;15124;214
he-IL;20635;495
hi-IN;10741;5959
hr-HR;21537;1285
hu-HU;20756;583
id-ID;10167;697
is-IS;17139;3337
it-IT;17127;126
ja-JP;14873;0
ko-KR;19402;1291
lt-LT;21800;790
lv-LV;22573;731
ms-MY;11023;1220
nb-NO;17923;380
nl-NL;15593;819
pt-BR;14686;422
pt-PT;14152;506
ro-RO;13113;4394
ru-RU;21947;144
sk-SK;20302;494
sl-SI;18535;290
sr-Latn;18191;868
sv-SE;20379;406
th-TH;6374;345
tr-TR;17259;845
uk-UA;22635;598
ur-PK;9243;6060
vi-VN;1058;3530
zh-Hans;8689;0
pt-BR;14916;443
af-ZA;17627;1351
ar-SA;27570;3202
bg-BG;16767;1046
cs-CZ;20421;160
da-DK;15907;795
de-DE;15931;2065
el-GR;18913;657
en-GB;17638;157
es-ES;17047;186
et-EE;19843;660
fa-IR;8896;4266
fi-FI;19415;318
fr-FR;14954;205
he-IL;20074;479
hi-IN;10483;5755
hr-HR;20772;1218
hu-HU;20055;564
id-ID;10008;683
is-IS;16630;3195
it-IT;16862;125
ja-JP;14496;0
ko-KR;18805;1231
lt-LT;20901;750
lv-LV;21654;683
ms-MY;10766;1202
nb-NO;17249;352
nl-NL;15217;804
pl-PL;20829;192
pt-PT;14309;510
ro-RO;12846;4295
ru-RU;21137;145
sk-SK;19651;487
sl-SI;18088;281
sr-Latn;17766;840
sv-SE;19697;397
th-TH;6270;341
tr-TR;16784;811
uk-UA;21730;587
ur-PK;9092;5913
vi-VN;1055;3482
zh-Hans;8512;0
pt-PT;14345;514
af-ZA;17232;1188
ar-SA;26940;3076
bg-BG;16381;990
cs-CZ;19891;136
da-DK;15555;737
de-DE;15559;1895
el-GR;18484;618
en-GB;17182;143
es-ES;16654;166
et-EE;19273;608
fa-IR;8772;4163
fi-FI;19036;299
fr-FR;14607;185
he-IL;19545;452
hi-IN;10365;5539
hr-HR;20255;1149
hu-HU;19501;532
id-ID;9787;641
is-IS;16565;3197
it-IT;16488;104
ja-JP;14142;0
ko-KR;18424;1187
lt-LT;20375;693
lv-LV;21087;626
ms-MY;10594;1129
nb-NO;16911;329
nl-NL;14818;762
pl-PL;20312;166
pt-BR;14528;344
ro-RO;12810;4266
ru-RU;20671;134
sk-SK;18972;441
sl-SI;17582;260
sr-Latn;17329;801
sv-SE;19279;360
th-TH;6147;322
tr-TR;16366;783
uk-UA;21153;546
